question,chunk
What is the format of the teaching for the Deep Learning 2023 course?,"02456 Deep learning 2023 - course plan and information Time: Mondays at 13:00-17:00 (first session is August 28th, 2023) Locations: We will use the following rooms - building/room - (Campus map): B303A-A042 B303A-046 B303A-047 B303A-048 B303A-HOEST Zoom (You need to sign-in with you DTU account) We use flipped classroom teaching. During the weeks with labs, the teachers and teaching assistants will circulate between the rooms so there will be opportunity to meet all. Any short lectures/instructions will be repeated in all rooms. You are free to choose whatever room you prefer of course respecting the limits on room capacity. During the weeks with project work each room will cover specific topics. If you are not able to be on campus or prefer to work remotely you will be able to participate through Zoom. One teaching assistant will be dedicated to the Zoom channel: Zoom. We also use Slack for communication: We will make dedicated channels for labs and projects. Here is a Slack invite link. (In Slack you can add channels from the list of channels by clicking the “+” next to Channels in the left panel and click “Browse channels” to choose.) Bring a laptop. The first eight weeks of the course will be dedicated to lab work. There will be a brief introduction to the course at the first session and a number of dedicated meetings online or in person with project supervisors. Teachers • Ole Winther • Jes Frellsen Teaching assistants • Aleksander Nagaj • Anders Christensen • Anna Maria"
How is the teaching format structured for the Deep Learning 2023 course?,"02456 Deep learning 2023 - course plan and information Time: Mondays at 13:00-17:00 (first session is August 28th, 2023) Locations: We will use the following rooms - building/room - (Campus map): B303A-A042 B303A-046 B303A-047 B303A-048 B303A-HOEST Zoom (You need to sign-in with you DTU account) We use flipped classroom teaching. During the weeks with labs, the teachers and teaching assistants will circulate between the rooms so there will be opportunity to meet all. Any short lectures/instructions will be repeated in all rooms. You are free to choose whatever room you prefer of course respecting the limits on room capacity. During the weeks with project work each room will cover specific topics. If you are not able to be on campus or prefer to work remotely you will be able to participate through Zoom. One teaching assistant will be dedicated to the Zoom channel: Zoom. We also use Slack for communication: We will make dedicated channels for labs and projects. Here is a Slack invite link. (In Slack you can add channels from the list of channels by clicking the “+” next to Channels in the left panel and click “Browse channels” to choose.) Bring a laptop. The first eight weeks of the course will be dedicated to lab work. There will be a brief introduction to the course at the first session and a number of dedicated meetings online or in person with project supervisors. Teachers • Ole Winther • Jes Frellsen Teaching assistants • Aleksander Nagaj • Anders Christensen • Anna Maria"
Can you explain the teaching format used in the Deep Learning 2023 course?,"02456 Deep learning 2023 - course plan and information Time: Mondays at 13:00-17:00 (first session is August 28th, 2023) Locations: We will use the following rooms - building/room - (Campus map): B303A-A042 B303A-046 B303A-047 B303A-048 B303A-HOEST Zoom (You need to sign-in with you DTU account) We use flipped classroom teaching. During the weeks with labs, the teachers and teaching assistants will circulate between the rooms so there will be opportunity to meet all. Any short lectures/instructions will be repeated in all rooms. You are free to choose whatever room you prefer of course respecting the limits on room capacity. During the weeks with project work each room will cover specific topics. If you are not able to be on campus or prefer to work remotely you will be able to participate through Zoom. One teaching assistant will be dedicated to the Zoom channel: Zoom. We also use Slack for communication: We will make dedicated channels for labs and projects. Here is a Slack invite link. (In Slack you can add channels from the list of channels by clicking the “+” next to Channels in the left panel and click “Browse channels” to choose.) Bring a laptop. The first eight weeks of the course will be dedicated to lab work. There will be a brief introduction to the course at the first session and a number of dedicated meetings online or in person with project supervisors. Teachers • Ole Winther • Jes Frellsen Teaching assistants • Aleksander Nagaj • Anders Christensen • Anna Maria"
What teaching style is employed in the Deep Learning 2023 course?,"02456 Deep learning 2023 - course plan and information Time: Mondays at 13:00-17:00 (first session is August 28th, 2023) Locations: We will use the following rooms - building/room - (Campus map): B303A-A042 B303A-046 B303A-047 B303A-048 B303A-HOEST Zoom (You need to sign-in with you DTU account) We use flipped classroom teaching. During the weeks with labs, the teachers and teaching assistants will circulate between the rooms so there will be opportunity to meet all. Any short lectures/instructions will be repeated in all rooms. You are free to choose whatever room you prefer of course respecting the limits on room capacity. During the weeks with project work each room will cover specific topics. If you are not able to be on campus or prefer to work remotely you will be able to participate through Zoom. One teaching assistant will be dedicated to the Zoom channel: Zoom. We also use Slack for communication: We will make dedicated channels for labs and projects. Here is a Slack invite link. (In Slack you can add channels from the list of channels by clicking the “+” next to Channels in the left panel and click “Browse channels” to choose.) Bring a laptop. The first eight weeks of the course will be dedicated to lab work. There will be a brief introduction to the course at the first session and a number of dedicated meetings online or in person with project supervisors. Teachers • Ole Winther • Jes Frellsen Teaching assistants • Aleksander Nagaj • Anders Christensen • Anna Maria"
What is the instructional approach for the Deep Learning 2023 course?,"02456 Deep learning 2023 - course plan and information Time: Mondays at 13:00-17:00 (first session is August 28th, 2023) Locations: We will use the following rooms - building/room - (Campus map): B303A-A042 B303A-046 B303A-047 B303A-048 B303A-HOEST Zoom (You need to sign-in with you DTU account) We use flipped classroom teaching. During the weeks with labs, the teachers and teaching assistants will circulate between the rooms so there will be opportunity to meet all. Any short lectures/instructions will be repeated in all rooms. You are free to choose whatever room you prefer of course respecting the limits on room capacity. During the weeks with project work each room will cover specific topics. If you are not able to be on campus or prefer to work remotely you will be able to participate through Zoom. One teaching assistant will be dedicated to the Zoom channel: Zoom. We also use Slack for communication: We will make dedicated channels for labs and projects. Here is a Slack invite link. (In Slack you can add channels from the list of channels by clicking the “+” next to Channels in the left panel and click “Browse channels” to choose.) Bring a laptop. The first eight weeks of the course will be dedicated to lab work. There will be a brief introduction to the course at the first session and a number of dedicated meetings online or in person with project supervisors. Teachers • Ole Winther • Jes Frellsen Teaching assistants • Aleksander Nagaj • Anders Christensen • Anna Maria"
How will students be able to participate in the course remotely?,"02456 Deep learning 2023 - course plan and information Time: Mondays at 13:00-17:00 (first session is August 28th, 2023) Locations: We will use the following rooms - building/room - (Campus map): B303A-A042 B303A-046 B303A-047 B303A-048 B303A-HOEST Zoom (You need to sign-in with you DTU account) We use flipped classroom teaching. During the weeks with labs, the teachers and teaching assistants will circulate between the rooms so there will be opportunity to meet all. Any short lectures/instructions will be repeated in all rooms. You are free to choose whatever room you prefer of course respecting the limits on room capacity. During the weeks with project work each room will cover specific topics. If you are not able to be on campus or prefer to work remotely you will be able to participate through Zoom. One teaching assistant will be dedicated to the Zoom channel: Zoom. We also use Slack for communication: We will make dedicated channels for labs and projects. Here is a Slack invite link. (In Slack you can add channels from the list of channels by clicking the “+” next to Channels in the left panel and click “Browse channels” to choose.) Bring a laptop. The first eight weeks of the course will be dedicated to lab work. There will be a brief introduction to the course at the first session and a number of dedicated meetings online or in person with project supervisors. Teachers • Ole Winther • Jes Frellsen Teaching assistants • Aleksander Nagaj • Anders Christensen • Anna Maria"
What options are available for students to participate in the course from a remote location?,"02456 Deep learning 2023 - course plan and information Time: Mondays at 13:00-17:00 (first session is August 28th, 2023) Locations: We will use the following rooms - building/room - (Campus map): B303A-A042 B303A-046 B303A-047 B303A-048 B303A-HOEST Zoom (You need to sign-in with you DTU account) We use flipped classroom teaching. During the weeks with labs, the teachers and teaching assistants will circulate between the rooms so there will be opportunity to meet all. Any short lectures/instructions will be repeated in all rooms. You are free to choose whatever room you prefer of course respecting the limits on room capacity. During the weeks with project work each room will cover specific topics. If you are not able to be on campus or prefer to work remotely you will be able to participate through Zoom. One teaching assistant will be dedicated to the Zoom channel: Zoom. We also use Slack for communication: We will make dedicated channels for labs and projects. Here is a Slack invite link. (In Slack you can add channels from the list of channels by clicking the “+” next to Channels in the left panel and click “Browse channels” to choose.) Bring a laptop. The first eight weeks of the course will be dedicated to lab work. There will be a brief introduction to the course at the first session and a number of dedicated meetings online or in person with project supervisors. Teachers • Ole Winther • Jes Frellsen Teaching assistants • Aleksander Nagaj • Anders Christensen • Anna Maria"
In what ways can students engage in the course if they are unable to attend in person?,"02456 Deep learning 2023 - course plan and information Time: Mondays at 13:00-17:00 (first session is August 28th, 2023) Locations: We will use the following rooms - building/room - (Campus map): B303A-A042 B303A-046 B303A-047 B303A-048 B303A-HOEST Zoom (You need to sign-in with you DTU account) We use flipped classroom teaching. During the weeks with labs, the teachers and teaching assistants will circulate between the rooms so there will be opportunity to meet all. Any short lectures/instructions will be repeated in all rooms. You are free to choose whatever room you prefer of course respecting the limits on room capacity. During the weeks with project work each room will cover specific topics. If you are not able to be on campus or prefer to work remotely you will be able to participate through Zoom. One teaching assistant will be dedicated to the Zoom channel: Zoom. We also use Slack for communication: We will make dedicated channels for labs and projects. Here is a Slack invite link. (In Slack you can add channels from the list of channels by clicking the “+” next to Channels in the left panel and click “Browse channels” to choose.) Bring a laptop. The first eight weeks of the course will be dedicated to lab work. There will be a brief introduction to the course at the first session and a number of dedicated meetings online or in person with project supervisors. Teachers • Ole Winther • Jes Frellsen Teaching assistants • Aleksander Nagaj • Anders Christensen • Anna Maria"
How can students access and contribute to the course content if they are not physically present?,"02456 Deep learning 2023 - course plan and information Time: Mondays at 13:00-17:00 (first session is August 28th, 2023) Locations: We will use the following rooms - building/room - (Campus map): B303A-A042 B303A-046 B303A-047 B303A-048 B303A-HOEST Zoom (You need to sign-in with you DTU account) We use flipped classroom teaching. During the weeks with labs, the teachers and teaching assistants will circulate between the rooms so there will be opportunity to meet all. Any short lectures/instructions will be repeated in all rooms. You are free to choose whatever room you prefer of course respecting the limits on room capacity. During the weeks with project work each room will cover specific topics. If you are not able to be on campus or prefer to work remotely you will be able to participate through Zoom. One teaching assistant will be dedicated to the Zoom channel: Zoom. We also use Slack for communication: We will make dedicated channels for labs and projects. Here is a Slack invite link. (In Slack you can add channels from the list of channels by clicking the “+” next to Channels in the left panel and click “Browse channels” to choose.) Bring a laptop. The first eight weeks of the course will be dedicated to lab work. There will be a brief introduction to the course at the first session and a number of dedicated meetings online or in person with project supervisors. Teachers • Ole Winther • Jes Frellsen Teaching assistants • Aleksander Nagaj • Anders Christensen • Anna Maria"
What provisions are in place for students to take part in the course remotely?,"02456 Deep learning 2023 - course plan and information Time: Mondays at 13:00-17:00 (first session is August 28th, 2023) Locations: We will use the following rooms - building/room - (Campus map): B303A-A042 B303A-046 B303A-047 B303A-048 B303A-HOEST Zoom (You need to sign-in with you DTU account) We use flipped classroom teaching. During the weeks with labs, the teachers and teaching assistants will circulate between the rooms so there will be opportunity to meet all. Any short lectures/instructions will be repeated in all rooms. You are free to choose whatever room you prefer of course respecting the limits on room capacity. During the weeks with project work each room will cover specific topics. If you are not able to be on campus or prefer to work remotely you will be able to participate through Zoom. One teaching assistant will be dedicated to the Zoom channel: Zoom. We also use Slack for communication: We will make dedicated channels for labs and projects. Here is a Slack invite link. (In Slack you can add channels from the list of channels by clicking the “+” next to Channels in the left panel and click “Browse channels” to choose.) Bring a laptop. The first eight weeks of the course will be dedicated to lab work. There will be a brief introduction to the course at the first session and a number of dedicated meetings online or in person with project supervisors. Teachers • Ole Winther • Jes Frellsen Teaching assistants • Aleksander Nagaj • Anders Christensen • Anna Maria"
Who are the teachers and teaching assistants for the course?,"02456 Deep learning 2023 - course plan and information Time: Mondays at 13:00-17:00 (first session is August 28th, 2023) Locations: We will use the following rooms - building/room - (Campus map): B303A-A042 B303A-046 B303A-047 B303A-048 B303A-HOEST Zoom (You need to sign-in with you DTU account) We use flipped classroom teaching. During the weeks with labs, the teachers and teaching assistants will circulate between the rooms so there will be opportunity to meet all. Any short lectures/instructions will be repeated in all rooms. You are free to choose whatever room you prefer of course respecting the limits on room capacity. During the weeks with project work each room will cover specific topics. If you are not able to be on campus or prefer to work remotely you will be able to participate through Zoom. One teaching assistant will be dedicated to the Zoom channel: Zoom. We also use Slack for communication: We will make dedicated channels for labs and projects. Here is a Slack invite link. (In Slack you can add channels from the list of channels by clicking the “+” next to Channels in the left panel and click “Browse channels” to choose.) Bring a laptop. The first eight weeks of the course will be dedicated to lab work. There will be a brief introduction to the course at the first session and a number of dedicated meetings online or in person with project supervisors. Teachers • Ole Winther • Jes Frellsen Teaching assistants • Aleksander Nagaj • Anders Christensen • Anna Maria"
